"Nombres","","",""
"Nombre","Sexo","Origen y Comentarios",""
"Belisario","M","ORIGEN:GRIEGO SIGNIFICADO:MILITAR ROMANO,AMIGO DEL EMPERADOR JUSTINIANO-NOMBRE DE UN GENERAL DEL SIGLO VI-FLECHA,FLECHERO.EL QUE ARROJASAETA CON CAPACIDAD.CARACTERIZACION DEL NOMBRE:COMUN GENERO:MASCULINO",""
"Belkis","F","",""
"Belkyss","F","",""
"Bell","A","",""
"Bella","F","",""
"Bellanca","F","",""
"Belle","F","",""
"Belona","F","",""
"Belsy","F","",""
"Beltran","M","",""
"Bem","M","",""
"Ben","M","",""
"Ben Hur","A","",""
"Bena","F","",""
"Benedetta","F","",""
"Benedict","M","",""
"Benedicta","M","",""
"Benedicto","M","",""
"Benen","M","",""
"Benet","M","",""
"Benett","M","",""
"Benicia","F","",""
"Benicio","M","ORIGEN:LATINO SIGNIFICADO: AMIGO DE CABALGAR,DEL APELLIDO DE SAN FE-LIPE BENICIO-RELIGIOSO FLORENTINO DEL SIGLO XIII,FUNDADOR DE LA ORDENDE LOS SERVITAS- CARACTERIZACION DEL NOMBRE:COMUN GENERO:MASCULINO",""
"Benigno","M","ORIGEN:LATINO SIGNIFICADO; DEL LATIN ""BENIGNUS"",QUE NO DA¥A,AMABLECON LAS GENTES-- CARACTERIZACION DEL NOMBRE:COMUN GENERO:MASCULINOVARIACION DE GENERO: BENIGNA",""
"Benilda","F","ORIGEN:GERMANO SIGNIFICADO:COMBATE DEL OSO-SANTA BENILDA ANCIANA COR-DOBESA MARTIRIZADA POR LOS MUSULMANES A MEDIADOS DEL SIGLO IX.CARACTERIZACION DEL NOMBRE:COMUN GENERO:FEMENINO VARIACION DE GENERO",""
"Benilda","F","ORIGEN:GERMANICO---SIGNIFICADO: COMBATE DEL OSO,SANTA BENILDE,ANCIANACORDOBESA MARTIRIZADA POR LOS MUSULMANES A MEDIADOS DEL SIGLO IX---NOMBRE:COMUN---GENERO:FEMENINO----VARIACION DE GENERO:BENILDO",""
"Benilde","F","",""
"Benildes","F","",""
"Benita","F","ORIGEN:LATINO---SIGNIFICADO: FORMA POPULAR ESPA¥OLA DEL LATIN ""BENEDICTUS"",CONTRACCION DE BENEDICTO,SAN BENITO DE NURSIA,PATRIARCA DE LOSMONJES DE OCCIDENTE---NOMBRE:COMUN----GENERO:FEMENINO----VARIACION DE",""
"Benito","M","ORIGEN:LATINO---SIGNIFICADO: FORMA POPULAR ESPA¥OLA DEL LATIN""BENEDIC-TUS"",CONTRACCION DE BENEDICTO,SAN BENITO DE NURSIA,PATRIARCA DE LOSMONJES DE OCCIDENTE---NOMBRE:COMUN---GENERO:MASCULINO----VARIACION DE",""
"Benjamin","M","ORIGEN:HEBREO---SIGNIFICADO: HIJO DE MI MANO DIESTRA,SEGUN LA GENEALOGIA BIBLICA ES EL ULTIMO HIJO DE JACOB Y DE RAQUEL---NOMBRE:COMUN----GENERO:MASCULINO----VARIACION DE GENERO:BENJAMINA.",""
"Benjamina","F","",""
"Benjasmin","F","",""
"Bennett","M","",""
"Benny","M","",""
"Benoit","M","",""
"Benon","M","",""
"Benson","M","",""
"Bent","M","",""
"Bente","F","",""
"Bentley","M","",""
"Beraja","F","",""
"Beranger","M","",""
"Berardo","M","ORIGEN:GERMANICO----SIGNIFICADO: VARIEDAD DE ""BERNARDO""PUEDE SER AFERESIS DE EBERHARD,EN EL SANTORAL,UN MISIONERO FRANCISCANO,DISCIPULO DESAN FRANCISCO,MARTIR EN MARRUECOS A PRINCIPIOS DEL SIGLO XIII----GENE",""
"Bercario","M","",""
"Berend","M","",""
"Berenger","M","",""
"Berenice","F","ORIGEN:HELENISTICO---SIGNIFICADO: NOMBRE DE UNA HERMANA DE CLEOPATRA YDE VARIAS REINAS DEL ORIENTE ALEJANDRINO--LA QUE TRAE LA VICTORIA.NOMBRE;COMUN----GENERO:FEMENINO",""
"Bergo","M","",""
"Bergren","M","",""
"Berit","F","",""
"Berjuhi","A","",""
"Berk","M","",""
"Berkeley","M","",""
"Berko","M","",""
"Bern","M","",""
